rows,features,input_bytes,implementation,layout,block_size,replications,resident_wall_seconds,resident_wall_seconds_min,resident_wall_seconds_max,resident_device_seconds,one_shot_seconds,one_shot_seconds_min,one_shot_seconds_max,cold_compile_seconds,aos_to_soa_conversion_seconds,max_abs_score_error,flag_mismatches,registers_per_thread,static_shared_memory_bytes,active_blocks_per_multiprocessor,theoretical_occupancy,resident_speedup_vs_numpy,one_shot_speedup_vs_numpy
1024,16,65536,cupy_composed,aos,,3,5.500001134350896e-05,5.444898852147162e-05,5.570999928750098e-05,5.027199909090996e-05,0.00012106398935429752,0.00011943400022573769,0.00012227799743413925,,1.4504010323435068e-05,1.9073486328125e-06,0,,,,,0.6038905992530371,0.27435069657215483
1024,16,65536,cupy_partial_fusion,aos,,3,3.9470993215218186e-05,3.868801286444068e-05,3.968400415033102e-05,3.465599939227104e-05,9.675600449554622e-05,9.619799675419927e-05,9.83509817160666e-05,0.04410799700417556,1.4504010323435068e-05,1.9073486328125e-06,0,,,,,0.8414784403334874,0.3432757479220252
1024,16,65536,numpy,aos,,3,3.3213989809155464e-05,3.25599976349622e-05,3.323398414067924e-05,,3.3213989809155464e-05,3.25599976349622e-05,3.323398414067924e-05,,1.4504010323435068e-05,0.0,0,,,,,1.0,1.0
1024,16,65536,raw_aos_b256,aos,256,3,1.532401074655354e-05,1.5205994714051485e-05,1.610899926163256e-05,1.0591999627649784e-05,6.365901208482683e-05,6.224599201232195e-05,6.651598960161209e-05,0.05797671398613602,1.4504010323435068e-05,2.86102294921875e-06,0,39,0,6,1.0,2.167447566990612,0.5217484331188992
1024,16,65536,raw_soa_b256,soa,256,3,1.4643010217696428e-05,1.3325014151632786e-05,1.542700920253992e-05,9.887999854981899e-06,6.11750001553446e-05,6.023401510901749e-05,6.140500772744417e-05,0.05797671398613602,1.4504010323435068e-05,2.86102294921875e-06,0,39,0,6,1.0,2.268248762745215,0.5429340371853468
1024,16,65536,raw_strided_b256,strided,256,3,1.5278987120836973e-05,1.5259021893143654e-05,1.531001180410385e-05,1.056000031530857e-05,,,,0.05797671398613602,1.4504010323435068e-05,2.86102294921875e-06,0,39,0,6,1.0,2.1738345314696503,
1048576,16,67108864,cupy_composed,aos,,3,0.005910392996156588,0.005907234008191153,0.005932885018410161,0.00590396785736084,0.01156441998318769,0.011498781997943297,0.01158191601280123,,0.0014831589942332357,3.814697265625e-06,0,,,,,10.028141621364675,5.125225310871365
1048576,16,67108864,cupy_partial_fusion,aos,,3,0.004878396022832021,0.004876138991676271,0.004896074999123812,0.004871871948242188,0.010413332987809554,0.010374700010288507,0.010424714011605829,0.04410113600897603,0.0014831589942332357,3.814697265625e-06,0,,,,,12.149538029709282,5.691766322345144
1048576,16,67108864,numpy,aos,,3,0.05927025800338015,0.059068823989946395,0.060030286986147985,,0.05927025800338015,0.059068823989946395,0.060030286986147985,,0.0014831589942332357,0.0,0,,,,,1.0,1.0
1048576,16,67108864,raw_aos_b256,aos,256,3,0.00018373900093138218,0.00018350500613451004,0.00018481299048289657,0.00017734399437904357,0.005650116014294326,0.005623134027700871,0.005667304008966312,0.058016171999042854,0.0014831589942332357,5.7220458984375e-06,0,39,0,6,1.0,322.57853641815973,10.490095752623716
