bytes,kib,direction,memory,replications,wall_seconds,wall_seconds_min,wall_seconds_max,device_seconds,device_seconds_min,device_seconds_max,wall_gib_per_second,device_gib_per_second
4096,4.0,d2h,pageable,3,1.3858982129022479e-05,1.2898002751171589e-05,1.3920973287895322e-05,9.119999594986438e-06,8.287999778985978e-06,9.247999638319015e-06,0.2752508972240131,0.41827822752558713
4096,4.0,d2h,pinned,3,8.481001714244485e-06,8.46901093609631e-06,8.940987754613161e-06,3.871999913826585e-06,3.776000114157796e-06,4.191999789327383e-06,0.4497932430809355,0.9852007620152671
4096,4.0,h2d,pageable,3,8.386996341869235e-06,8.122005965560675e-06,8.49299249239266e-06,3.7440001033246518e-06,3.616000059992075e-06,4.255999810993672e-06,0.4548347358375987,1.018882788554832
4096,4.0,h2d,pinned,3,9.095005225390196e-06,8.667993824928999e-06,9.14299744181335e-06,4.160000011324882e-06,3.6800000816583632e-06,4.31999983265996e-06,0.41942771566261977,0.9169945325096502
65536,64.0,d2h,pageable,3,1.999401138164103e-05,1.899097696878016e-05,1.9997998606413603e-05,1.5200000256299973e-05,1.4336000196635724e-05,1.539199985563755e-05,3.0526718768422785,4.0154707382128265
65536,64.0,d2h,pinned,3,1.0496005415916443e-05,1.0391988325864077e-05,1.053398591466248e-05,5.663999821990728e-06,5.632000043988228e-06,5.727999843657017e-06,5.8150842945874,10.775981315011403
65536,64.0,h2d,pageable,3,1.715499092824757e-05,1.707399496808648e-05,1.7198006389662623e-05,1.2223999947309494e-05,1.2191999703645706e-05,1.2256000190973282e-05,3.557865842382868,4.9930592697224165
65536,64.0,h2d,pinned,3,1.041201176121831e-05,1.0267016477882862e-05,1.0843010386452079e-05,5.4080002009868624e-06,5.216000135987997e-06,5.855999886989594e-06,5.861994554917625,11.286086165244999
1048576,1024.0,d2h,pageable,3,0.0001669619814492762,0.00015788100427016616,0.0001738090068101883,0.00016172799468040466,0.00015251199901103972,0.00016870400309562683,5.849011203168334,6.0383021624043085
1048576,1024.0,d2h,pinned,3,7.794299745000899e-05,7.746301707811654e-05,7.905499660409987e-05,6.918399780988693e-05,6.896000355482102e-05,6.988800317049027e-05,12.529188406262497,14.115438987546362
1048576,1024.0,h2d,pageable,3,6.387298344634473e-05,6.377699901349843e-05,6.557800224982202e-05,5.8079998940229415e-05,5.8079998940229415e-05,6.028800085186958e-05,15.289132389131979,16.814092937656355
1048576,1024.0,h2d,pinned,3,4.765100311487913e-05,4.592799814417958e-05,4.811800317838788e-05,4.236799851059914e-05,3.964800015091896e-05,4.2431998997926714e-05,20.494059645411035,23.049531116172382
16777216,16384.0,d2h,pageable,3,0.001254100992809981,0.0012515919806901366,0.0012713369796983898,0.001248703956604004,0.0012462719678878783,0.0012663040161132813,12.459124177064956,12.512973885735102
16777216,16384.0,d2h,pinned,3,0.0007166739960666746,0.000712331006070599,0.0007728530035819858,0.0007091839909553528,0.0007049279808998108,0.0007656959891319275,21.802102609770643,22.032364237313534
16777216,16384.0,h2d,pageable,3,0.0007554620096925646,0.0007520120125263929,0.0007570779998786747,0.0007499200105667114,0.0007461439967155456,0.0007502400279045105,20.68270779937511,20.835555499035493
16777216,16384.0,h2d,pinned,3,0.0006373640208039433,0.0006356819940265268,0.0006377850077114999,0.0006314880251884461,0.0006304640173912049,0.0006319360136985779,24.515032995259606,24.74314535946624
268435456,262144.0,d2h,pageable,3,0.018912473984528333,0.018902930023614317,0.018987357994774356,0.018906240463256837,0.018897344589233398,0.01897724723815918,13.218788837701334,13.223147165924408
268435456,262144.0,d2h,pinned,3,0.011680195981170982,0.011644134996458888,0.013063021993730217,0.011671520233154297,0.011632512092590332,0.01305513572692871,21.403750451020823,21.419660421771468
268435456,262144.0,h2d,pageable,3,0.016439975006505847,0.016395004000514746,0.01645910498336889,0.016433984756469726,0.016389184951782227,0.016453216552734375,15.206835770800543,15.212378720357526
268435456,262144.0,h2d,pinned,3,0.010044195980299264,0.01004269701661542,0.010057934996439144,0.01003878402709961,0.01003718376159668,0.010051648139953613,24.88999622173355,24.903414529601115
1073741824,1048576.0,d2h,pageable,3,0.07552621999639086,0.07551870099268854,0.07620707000023685,0.07552067565917969,0.07551315307617187,0.07620198059082031,13.24043491184633,13.241406956062475
1073741824,1048576.0,d2h,pinned,3,0.048935202008578926,0.04852672800188884,0.051322576997336,0.04892678451538086,0.048518783569335935,0.051313823699951175,20.435186919728828,20.438702643245136
1073741824,1048576.0,h2d,pageable,3,0.06628710101358593,0.06618827898637392,0.06634628298343159,0.06628112030029297,0.06618179321289062,0.06633052825927735,15.085891292712352,15.087252530877633
1073741824,1048576.0,h2d,pinned,3,0.04015118500683457,0.04013155199936591,0.040163077996112406,0.040145408630371096,0.04012575912475586,0.04015705490112305,24.905865165119764,24.909448779242783
