dataset,dataset_id,rows,dimensions,algorithm,batch_size,params,tuning_target_recalls,replications,build_seconds_median,corpus_bytes,index_bytes_median,device_memory_after_build_bytes_median,device_memory_search_max_bytes_median,search_memory_telemetry_replications,recall_at_10_median,recall_at_10_min,latency_ms_per_batch_median,latency_ms_per_query_median,queries_per_second_median,confirmed_target_recalls,break_even_status,break_even_queries,break_even_seconds_at_1_qps,break_even_seconds_at_10_qps,break_even_seconds_at_100_qps,break_even_seconds_at_1000_qps
scale-100k-d128,vectors-1bc415e21f09,100000,128,brute_force,1,{},1.00,3,0.022285587998339906,51200128,51601186,299106304,801570816,3,1.0,1.0,0.42958700214512646,0.42958700214512646,2327.817170925884,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,1,"{""itopk_size"":512,""search_width"":16}",0.90;0.95;0.99,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,1.0,1.0,0.24853200011420995,0.24853200011420995,4023.6267343459263,0.90;0.95;0.99,finite,3024.803423604154,3024.803423604154,302.4803423604154,30.24803423604154,3.024803423604154
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_flat,1,"{""n_probes"":128}",0.80;0.90;0.95;0.99,3,0.11866174700116972,51200128,54232735,565444608,1067909120,3,0.9,0.8,0.12556299770949408,0.12556299770949408,7964.1297057404345,0.80,finite,390.3038749241021,390.3038749241021,39.03038749241021,3.9030387492410212,0.3903038749241021
scale-100k-d128,vectors-1bc415e21f09,100000,128,brute_force,32,{},1.00,3,0.022285587998339906,51200128,51601186,299106304,801570816,3,1.0,1.0,0.47102499956963584,0.01471953123655112,67936.9460840457,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,32,"{""itopk_size"":32,""search_width"":16}",0.99,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,0.99375,0.99375,0.6086299981689081,0.019019687442778377,52577.099545328856,0.99,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,32,"{""itopk_size"":32,""search_width"":4}",0.90,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,0.940625,0.9375,0.2641929968376644,0.008256031151177012,121123.5739895962,0.90,finite,84730.53032721898,84730.53032721898,8473.053032721898,847.3053032721898,84.73053032721897
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,32,"{""itopk_size"":64,""search_width"":2}",0.80,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,0.91875,0.909375,0.23817699548089877,0.0074430311087780865,134353.86543267703,0.80,finite,75263.62679682697,75263.62679682697,7526.362679682697,752.6362679682696,75.26362679682697
scale-100k-d128,vectors-1bc415e21f09,100000,128,cagra,32,"{""itopk_size"":64,""search_width"":8}",0.95,3,0.5476557900037733,51200128,76801848,531890176,1067909120,3,0.984375,0.975,0.3653209932963364,0.011416281040510512,87594.19958667048,0.95,finite,165793.00915813548,165793.00915813548,16579.300915813546,1657.9300915813549,165.79300915813548
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_flat,32,"{""n_probes"":128}",0.80;0.90,3,0.11866174700116972,51200128,54232735,565444608,1067909120,3,0.928125,0.903125,0.5159740030649118,0.016124187595778494,62018.6284772457,0.80;0.90,ann-not-faster,,,,,
scale-100k-d128,vectors-1bc415e21f09,100000,128,ivf_flat,32,"{""n_probes"":256}",0.95;0.99,3,0.11866174700116972,51200128,54232735,565444608,1067909120,2,1.0,1.0,1.039650000166148,0.03248906250519212,30779.58927993655,0.95;0.99,ann-not-faster,,,,,
