run_id,profile,phase,repetition,status,duration_seconds,timed_step_seconds,unmeasured_product_seconds,publish_ms,max_peak_rss_bytes,final_managed_bytes,snapshot_start,snapshot_end,checks_passed,checks_failed,evidence_directory
85e7b5f3-3f42-4845-b3f8-3b40a66f7910,large,measured,1,success,288.434559,235.878146,52.556413,656.474,3574530048,7634923636,423,443,16,0,large-measured-r1-85e7b5f3-3f42-4845-b3f8-3b40a66f7910
71d53ffa-8e29-4935-94f6-7309f3740400,large,measured,2,success,302.288205,250.684895,51.60331,668.562,3571195904,7634981254,445,465,16,0,large-measured-r2-71d53ffa-8e29-4935-94f6-7309f3740400
0ffe70d5-138d-4879-a61a-b53b3bf6161d,large,measured,3,success,260.880224,210.765533,50.114691,659.366,3564593152,7634468774,467,487,16,0,large-measured-r3-0ffe70d5-138d-4879-a61a-b53b3bf6161d
dca7602f-87d7-4a06-aabe-29dd3bf4dd78,large,measured,4,success,295.566873,245.844075,49.722798,650.465,3586904064,7634698659,489,509,16,0,large-measured-r4-dca7602f-87d7-4a06-aabe-29dd3bf4dd78
b1a28201-30d0-48ce-8b6d-4fd6020e29a2,large,measured,5,success,252.568672,202.346728,50.221944,687.716,3580968960,7634870831,511,531,16,0,large-measured-r5-b1a28201-30d0-48ce-8b6d-4fd6020e29a2
52d6da6e-eb12-4b5f-a96c-7ea344a6418a,large,warmup,0,success,329.518557,271.016516,58.502041,847.391,3586252800,7635209615,401,421,16,0,large-warmup-r0-52d6da6e-eb12-4b5f-a96c-7ea344a6418a
13fd43cf-6cb7-4251-b811-537411176ae0,medium,measured,1,success,117.357086,57.419,59.938086,904.741,869187584,1526740969,291,311,16,0,medium-measured-r1-13fd43cf-6cb7-4251-b811-537411176ae0
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,measured,2,success,117.087423,57.727607,59.359816,859.167,873349120,1526884344,313,333,16,0,medium-measured-r2-f0f61ec5-b311-4e75-a729-e3995c10bedb
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,measured,3,success,119.679637,60.590516,59.089121,968.927,874827776,1526622483,335,355,16,0,medium-measured-r3-214dd185-d8d2-4acc-b15f-c1e57928de0d
bd040256-a81e-4536-b9a4-5ff6163f3de3,medium,measured,4,success,117.377036,59.652977,57.724059,971.761,890867712,1527180044,357,377,16,0,medium-measured-r4-bd040256-a81e-4536-b9a4-5ff6163f3de3
b8881f3b-da9d-4e8d-b442-f5ee9a8ebbff,medium,measured,5,success,119.339966,60.348533,58.991433,968.895,887128064,1527225554,379,399,16,0,medium-measured-r5-b8881f3b-da9d-4e8d-b442-f5ee9a8ebbff
e00c948e-8909-467a-9eb4-8ca4cfbeb411,medium,warmup,0,success,115.310416,57.338079,57.972337,795.628,873533440,1527051226,269,289,16,0,medium-warmup-r0-e00c948e-8909-467a-9eb4-8ca4cfbeb411
2b1d26ae-e031-46eb-a13a-e31dc25a510e,quick,measured,1,success,61.653622,4.890125,56.763497,769.428,232542208,12928410,27,47,16,0,quick-measured-r1-2b1d26ae-e031-46eb-a13a-e31dc25a510e
44c404d8-11f7-47b8-b01e-504f44aba60c,quick,measured,2,success,58.618997,4.822097,53.7969,935.418,225603584,12928625,49,69,16,0,quick-measured-r2-44c404d8-11f7-47b8-b01e-504f44aba60c
5d2153af-8fd5-4883-bf31-b608d506782a,quick,measured,3,success,60.281322,5.341923,54.939399,923.894,232357888,12928618,71,91,16,0,quick-measured-r3-5d2153af-8fd5-4883-bf31-b608d506782a
9e682a89-c44e-4f75-916a-9bf98e65fa94,quick,measured,4,success,58.394619,5.141043,53.253576,682.825,218226688,12930024,93,113,16,0,quick-measured-r4-9e682a89-c44e-4f75-916a-9bf98e65fa94
0eccec38-87ae-4b07-919e-3d41d38661ea,quick,measured,5,success,59.98536,5.355914,54.629446,805.772,230756352,12928304,115,135,16,0,quick-measured-r5-0eccec38-87ae-4b07-919e-3d41d38661ea
578c4344-e707-4c9d-8f3b-43bc7fec98e2,small,measured,1,success,64.71813,9.291571,55.426559,655.866,335990784,147217335,159,179,16,0,small-measured-r1-578c4344-e707-4c9d-8f3b-43bc7fec98e2
628a30dd-6fc8-493c-8baf-fbb3d103bc93,small,measured,2,success,57.149696,9.662814,47.486882,721.092,331223040,147205001,181,201,16,0,small-measured-r2-628a30dd-6fc8-493c-8baf-fbb3d103bc93
d31ece6d-7722-47e5-9473-a44e6f9ee6c9,small,measured,3,success,67.716412,11.21169,56.504722,854.591,342958080,147251555,203,223,16,0,small-measured-r3-d31ece6d-7722-47e5-9473-a44e6f9ee6c9
7b29b75b-fdc7-4372-bd3d-a8a5de4061c6,small,measured,4,success,66.494876,10.928056,55.56682,827.023,342278144,147251737,225,245,16,0,small-measured-r4-7b29b75b-fdc7-4372-bd3d-a8a5de4061c6
81fccd67-99d9-4ce7-a2ef-3908890a2e86,small,measured,5,success,58.763677,10.747802,48.015875,746.439,330076160,147153555,247,267,16,0,small-measured-r5-81fccd67-99d9-4ce7-a2ef-3908890a2e86
d746cfdb-538e-48bd-acb7-50c5b292168b,small,warmup,0,success,64.960767,9.86318,55.097587,723.903,343310336,147249250,137,157,16,0,small-warmup-r0-d746cfdb-538e-48bd-acb7-50c5b292168b
