profile,step_order,workload,elapsed_median_ms,elapsed_min_ms,elapsed_max_ms,rows_in_median,rows_out_median,rows_per_second_median,peak_rss_median_bytes,correct_runs
quick,1,generate_sources,966.701,864.101,1150.107,0,316000,326884.91,121495552,5
quick,2,ingest_batch,418.605,331.849,513.265,111000,111000,265166.26,139460608,5
quick,3,prepare_and_model,1089.004,982.348,1219.974,100000,99998,91827.0,194441216,5
quick,4,apply_incremental,944.086,788.886,1071.523,5000,102499,5296.13,203337728,5
quick,5,process_events,862.596,646.755,999.629,200000,199980,231858.36,230756352,5
quick,6,validate_quality,653.807,523.885,849.047,302501,6,,183603200,5
quick,7,query_history,146.248,121.056,221.3,202497,2,1384614.75,181620736,5
small,1,generate_sources,3679.861,3357.647,4240.893,0,3160000,858728.11,136151040,5
small,2,ingest_batch,686.747,557.011,753.45,1110000,1110000,1616315.06,230236160,5
small,3,prepare_and_model,1706.13,1480.334,1859.856,1000000,999980,586121.84,303022080,5
small,4,apply_incremental,1507.5,1386.223,1690.536,50000,1024981,33167.5,314093568,5
small,5,process_events,1721.844,1489.78,1783.715,2000000,1999800,1161545.08,335990784,5
small,6,validate_quality,913.519,695.171,1109.594,3025001,6,,224854016,5
small,7,query_history,205.435,127.973,238.694,2024961,2,9856961.78,223346688,5
medium,1,generate_sources,34706.358,32229.735,35234.691,0,31600000,910496.0,140013568,5
medium,2,ingest_batch,2285.172,2180.994,2332.398,11100000,11100000,4857403.27,241967104,5
medium,3,prepare_and_model,5976.995,5939.695,6078.659,10000000,9999800,1673081.6,845598720,5
medium,4,apply_incremental,4676.989,4607.261,4939.543,500000,10249810,106906.39,874827776,5
medium,5,process_events,9940.371,9885.133,10006.574,20000000,19998000,2011997.26,873349120,5
medium,6,validate_quality,1979.529,1825.429,2119.898,30250010,6,,459079680,5
medium,7,query_history,313.905,290.242,350.008,20249610,2,64508638.59,201691136,5
large,1,generate_sources,137676.052,108510.97,155263.303,0,158000000,1147621.52,144486400,5
large,2,ingest_batch,6638.202,6592.46,6714.174,55500000,55500000,8360698.3,273809408,5
large,3,prepare_and_model,21780.848,21630.057,22502.729,50000000,49999000,2295594.7,3509817344,5
large,4,apply_incremental,17649.252,17440.861,18342.895,2500000,51249050,141649.06,3574530048,5
large,5,process_events,42252.837,41440.886,44496.709,100000000,99990000,2366705.0,3377852416,5
large,6,validate_quality,5599.494,5398.501,5726.376,151250050,6,,1520013312,5
large,7,query_history,600.023,585.885,607.071,101248050,2,168740169.13,241336320,5
