"study","profile","codec","rows","parquet_bytes","estimated_logical_bytes","workload","engine","median_seconds","min_seconds","max_seconds","relative_to_fastest","gpu_utilization_mean_percent","process_cpu_cores_mean","process_rss_peak_bytes","trials","correct"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_12","cudf","0.019021054","0.018873572","0.019042006","2.9705414206709486","8.0","1.3525890786048722","1338667008","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_12","duckdb","0.018477304","0.017974199","0.018937743","2.8856233137411316","9.0","1.7539853868434967","1332588544","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_12","polars-cpu","0.006403228","0.005893162","0.007454494","1.0","9.333333333333334","3.2106086441019674","1343877120","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_12","polars-gpu","0.032051386","0.030014661","0.032426231","5.005504411212595","7.4444444444444455","1.1749822312105085","1332985856","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_2","cudf","0.015719397","0.015556925","0.015837605","2.8362362567173744","5.333333333333333","1.015040852860504","1332244480","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_2","duckdb","0.011876174","0.011742058","0.011918612","2.142807086676684","12.333333333333334","1.6244060112839858","1337323520","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_2","polars-cpu","0.005542344","0.00418443","0.00793503","1.0","13.666666666666666","1.9736393062344117","1338466304","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_2","polars-gpu","0.028861017","0.027635655","0.032422824","5.2073665943506935","10.0","0.9899102473492865","1337323520","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_6","cudf","0.017655203","0.017524254","0.017699822","3.3276135979184516","8.333333333333334","0.9115165310704229","1338667008","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_6","duckdb","0.013565863","0.013259125","0.015287254","2.5568638427039776","12.0","1.3660155329722896","1337532416","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_6","polars-cpu","0.005305665","0.00467896","0.005491688","1.0","3.0","1.7576801221896805","1338703872","3","True"
"crossover","wide","zstd","100000","10101528","17299958","feature_width_6","polars-gpu","0.030172344","0.029840944","0.032231","5.686816638442118","12.0","1.1172985921650214","1343877120","3","True"
"crossover","wide","zstd","100000","10101528","17299958","join_groupby","cudf","0.021304876","0.020726013","0.02178432","3.970929014547794","8.0","0.8860172014733205","1338671104","3","True"
"crossover","wide","zstd","100000","10101528","17299958","join_groupby","duckdb","0.013159989","0.012858957","0.013770455","2.4528367192200418","8.333333333333334","2.152437563470582","1338662912","3","True"
"crossover","wide","zstd","100000","10101528","17299958","join_groupby","polars-cpu","0.005365212","0.005195607","0.006531015","1.0","8.0","3.242297049970777","1338314752","3","True"
"crossover","wide","zstd","100000","10101528","17299958","join_groupby","polars-gpu","0.025942706","0.024733196","0.02617401","4.835355247844819","8.333333333333334","1.239960660363213","1334620160","3","True"
"crossover","wide","zstd","100000","10101528","17299958","scan_groupby","cudf","0.013382137","0.012576882","0.013640499","2.779337946131408","13.333333333333334","1.198862767464972","1341640704","3","True"
"crossover","wide","zstd","100000","10101528","17299958","scan_groupby","duckdb","0.010730947","0.010664486","0.0107422","2.228711916118105","13.0","2.069181871463414","1338314752","3","True"
"crossover","wide","zstd","100000","10101528","17299958","scan_groupby","polars-cpu","0.004814865","0.004474883","0.005867396","1.0","8.0","1.3111686304830037","1338523648","3","True"
"crossover","wide","zstd","100000","10101528","17299958","scan_groupby","polars-gpu","0.026089325","0.023132844","0.02705027","5.418495637987774","6.0","0.6698161220912766","1335967744","3","True"
"crossover","wide","zstd","100000","10101528","17299958","sort_topk","cudf","0.012342132","0.011878614","0.012505415","2.2551373166966813","12.666666666666666","1.5551699931668743","1337794560","3","True"
"crossover","wide","zstd","100000","10101528","17299958","sort_topk","duckdb","0.010329574","0.010272683","0.010526397","1.8874054979301635","8.666666666666666","1.2305121640929892","1338667008","3","True"
"crossover","wide","zstd","100000","10101528","17299958","sort_topk","polars-cpu","0.005472896","0.004538499","0.006539452","1.0","8.333333333333334","2.348246918451807","1335234560","3","True"
"crossover","wide","zstd","100000","10101528","17299958","sort_topk","polars-gpu","0.022380512","0.0199565","0.022814571","4.089336249035246","2.3333333333333335","1.4680330784339235","1335595008","3","True"
"crossover","wide","zstd","100000","10101528","17299958","string_features","cudf","0.014100577","0.01397139","0.014229902","3.0151271936023756","8.833333333333334","0.9026254257685179","1337376768","3","True"
"crossover","wide","zstd","100000","10101528","17299958","string_features","duckdb","0.009722454","0.009582708","0.009950011","2.0789528998670193","12.333333333333334","1.2940421923277527","1341886464","3","True"
"crossover","wide","zstd","100000","10101528","17299958","string_features","polars-cpu","0.004676611","0.004491523","0.005553979","1.0","8.0","1.8534900485797994","1334910976","3","True"
"crossover","wide","zstd","100000","10101528","17299958","string_features","polars-gpu","0.023183811","0.02196873","0.024649068","4.9573956439823625","5.666666666666667","1.4360085634664497","1335787520","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_12","cudf","0.032389473","0.031876404","0.032483131","1.498482501543268","10.333333333333334","1.2982008462120505","1397268480","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_12","duckdb","0.033153687","0.032711492","0.03400097","1.5338384737270199","10.333333333333334","3.5058457592485475","1403887616","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_12","polars-cpu","0.021614849","0.019736452","0.021742935","1.0","16.333333333333332","5.146073069155496","1432903680","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_12","polars-gpu","0.039843194","0.039793906","0.039963929","1.8433251141379707","8.666666666666666","1.4786724375391465","1404231680","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_2","cudf","0.021611272","0.021403941","0.021974649","2.070658077917698","11.0","1.6254786024962877","1420939264","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_2","duckdb","0.016985146","0.016556142","0.01717982","1.627411369840307","16.333333333333332","2.852268206358469","1416192000","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_2","polars-cpu","0.01043691","0.009693147","0.012135285","1.0","9.666666666666666","4.354218997768814","1394225152","3","True"
