case_id,width,height,target_fps_per_stream,streams,target_fps_total,effect,placement,codec,preset,replications,sla_passes,achieved_fps_median,achieved_fps_min,achieved_fps_max,throughput_ratio_median,throughput_ratio_min,throughput_ratio_max,latency_p50_ms_median,latency_p50_ms_min,latency_p50_ms_max,latency_p95_ms_median,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_median,latency_p99_ms_min,latency_p99_ms_max,latency_max_ms_median,latency_max_ms_min,latency_max_ms_max,deadline_miss_rate_median,deadline_miss_rate_min,deadline_miss_rate_max,queue_delay_max_ms_median,queue_delay_max_ms_min,queue_delay_max_ms_max,output_mbps_median,output_mbps_min,output_mbps_max,encoder_percent_mean_median,encoder_percent_mean_min,encoder_percent_mean_max,decoder_percent_mean_median,decoder_percent_mean_min,decoder_percent_mean_max,gpu_percent_mean_median,gpu_percent_mean_min,gpu_percent_mean_max,memory_used_mib_max_median,memory_used_mib_max_min,memory_used_mib_max_max,power_watts_mean_median,power_watts_mean_min,power_watts_mean_max
1280x720-60fps-1s-pointwise-device-h264-p1,1280,720,60,1,60,pointwise,device,h264,P1,3,3,60.099562229241066,60.09920413512835,60.09972553337838,1.001659370487351,1.0016534022521393,1.001662092222973,0.597936,0.591022,0.613896,0.6430094,0.6335168,0.6546289999999999,0.6747038799999999,0.6699915199999991,0.6819827199999986,19.689995,19.643834,19.794699,0.0017094017094017094,0.0017094017094017094,0.003418803418803419,3.033477,2.987752,3.137405,5.0354184,5.0354184,5.0354184,1.798165137614679,1.798165137614679,2.073394495412844,0.8990825688073395,0.8990825688073395,1.0091743119266054,0.05504587155963303,0.05504587155963303,0.11009174311926606,768.4375,768.4375,768.4375,17.11734862385321,17.09519266055046,17.64702752293578
1920x1080-60fps-1s-pointwise-device-h264-p1,1920,1080,60,1,60,pointwise,device,h264,P1,3,3,60.09957670794551,60.09949333663552,60.09970914056413,1.001659611799092,1.0016582222772585,1.0016618190094022,0.628613,0.624145,0.632939,0.6762009999999999,0.6647915999999999,0.6791927999999999,0.7087138399999997,0.6848854799999999,0.7092248399999995,19.779355,1.558595,19.898206,0.0017094017094017094,0.0,0.003418803418803419,3.123785,0.251741,3.242621,9.9846576,9.9846576,9.9846576,4.3577981651376145,4.3577981651376145,4.4036697247706424,0.8532110091743119,0.8532110091743119,0.8990825688073395,0.11009174311926606,0.05504587155963303,0.11009174311926606,814.4375,814.4375,814.4375,17.681119266055045,17.33077981651376,17.83488990825688
3840x2160-30fps-1s-pointwise-device-h264-p1,3840,2160,30,1,30,pointwise,device,h264,P1,3,3,30.1037014970973,30.10351674438231,30.103827829665654,1.00345671656991,1.003450558146077,1.0034609276555218,0.801575,0.799968,0.817733,0.8728792,0.8670902,0.897039,1.1049356800000008,1.057781680000003,1.4666555600000495,3.702741,3.684447,3.764527,0.0,0.0,0.0,0.277277,0.260908,0.420721,20.1220648,20.1220648,20.1220648,11.570093457943925,11.345794392523365,13.532710280373832,3.0841121495327104,2.97196261682243,3.560747663551402,0.17757009345794392,0.17757009345794392,0.2336448598130841,1041.0,1041.0,1041.0,17.927102803738318,17.64755140186916,17.950242990654203
3840x2160-60fps-1s-passthrough-device-h264-p1,3840,2160,60,1,60,passthrough,device,h264,P1,3,3,60.09937808789603,60.098693735834715,60.099819784516015,1.0016563014649338,1.0016448955972452,1.0016636630752669,0.743619,0.729943,0.77469,0.7882482000000001,0.7841937999999999,1.0198174,1.0403247999999816,0.8564679599999993,1.1765490799999954,19.986988,19.884712,20.214836,0.003418803418803419,0.0017094017094017094,0.003418803418803419,3.331366,3.229211,3.562217,39.911607200000006,39.911607200000006,39.911607200000006,23.03669724770642,23.01834862385321,23.36697247706422,5.706422018348624,5.669724770642202,5.81651376146789,1.128440366972477,1.128440366972477,1.1743119266055047,1195.0,1195.0,1195.0,19.011100917431193,18.681669724770643,19.11437614678899
3840x2160-60fps-1s-pointwise-device-av1-p1,3840,2160,60,1,60,pointwise,device,av1,P1,3,3,60.09883209790621,60.09798010389922,60.0988936417579,1.0016472016317701,1.0016330017316537,1.0016482273626317,0.801622,0.79276,1.022274,0.8545504,0.8468863999999999,1.0900944,0.9611190399999938,0.9167905999999995,1.1595143599999997,20.005469,19.983272,20.247768,0.0017094017094017094,0.0017094017094017094,0.003418803418803419,3.349567,3.327199,3.594777,40.9762104,40.9762104,40.9762104,14.431192660550458,13.880733944954128,15.926605504587156,5.577981651376147,5.2110091743119265,6.275229357798165,1.1192660550458715,1.018348623853211,1.1743119266055047,1061.625,1061.625,1061.625,18.988,18.500990825688074,19.03456880733945
3840x2160-60fps-1s-pointwise-device-h264-p1,3840,2160,60,1,60,pointwise,device,h264,P1,3,3,60.099062918870885,60.09808344383691,60.09958667942406,1.001651048647848,1.0016347240639485,1.0016597779904008,0.800808,0.79348,0.806465,0.85671,0.8422896000000001,1.0181062,0.9987955199999854,0.9347979599999965,1.1359724399999902,20.093717,20.01049,20.19253,0.003418803418803419,0.003418803418803419,0.003418803418803419,3.437744,3.354626,3.537807,39.849336799999996,39.849336799999996,39.849336799999996,24.31192660550459,22.59633027522936,25.825688073394495,6.018348623853211,5.605504587155964,6.220183486238532,1.0642201834862386,1.0091743119266054,1.128440366972477,1195.0,1195.0,1195.0,19.103284403669722,18.776284403669724,19.140752293577982
3840x2160-60fps-1s-pointwise-device-hevc-p1,3840,2160,60,1,60,pointwise,device,hevc,P1,3,3,60.09883013453099,60.098787681203916,60.09895116018267,1.00164716890885,1.0016464613533986,1.0016491860030445,0.822889,0.81389,0.82407,0.8705555999999999,0.8675334,0.8725535999999999,0.9836582399999934,0.9226320399999997,1.0081804399999976,20.07986,19.96625,20.094945,0.003418803418803419,0.0017094017094017094,0.003418803418803419,3.424111,3.310212,3.439246,39.894776799999995,39.894776799999995,39.894776799999995,13.522935779816514,13.486238532110091,14.504587155963304,5.522935779816514,5.2110091743119265,5.844036697247707,1.0642201834862386,0.963302752293578,1.1192660550458715,1000.5,1000.5,1000.5,18.667477064220183,18.51851376146789,19.188550458715596
3840x2160-60fps-1s-stacked-device-h264-p1,3840,2160,60,1,60,stacked,device,h264,P1,3,3,60.09761534232051,60.09733476520264,60.09767131482405,1.0016269223720085,1.0016222460867106,1.0016278552470674,1.032409,1.030316,1.037363,1.0839067999999998,1.0818212,1.0852414,1.1146485999999995,1.1143886,1.2011721199999998,20.193792,3.674973,20.287488,0.003418803418803419,0.0,0.003418803418803419,3.536603,0.268309,3.631036,42.487548,42.487548,42.487548,25.678899082568808,23.91743119266055,25.94495412844037,6.0,5.807339449541284,6.229357798165138,2.128440366972477,2.073394495412844,2.1376146788990824,1203.0,1203.0,1203.0,19.8052752293578,19.544550458715598,20.039330275229357
3840x2160-60fps-1s-unsharp-device-h264-p1,3840,2160,60,1,60,unsharp,device,h264,P1,3,3,60.09887699008335,60.09860577962554,60.099009629540106,1.0016479498347224,1.0016434296604255,1.0016501604923351,0.827427,0.823213,0.830205,0.8749104,0.8700868,0.8831593999999999,0.9267688799999998,0.9218481199999997,0.9282370799999997,19.966477,19.636691,20.056512,0.0017094017094017094,0.0017094017094017094,0.0017094017094017094,3.310829,2.979509,3.400637,42.5903056,42.5903056,42.5903056,24.889908256880734,23.3302752293578,26.128440366972477,6.073394495412844,5.706422018348624,6.220183486238532,1.0642201834862386,1.0642201834862386,1.18348623853211,1203.0,1203.0,1203.0,18.96146788990826,18.712045871559635,19.35011009174312
3840x2160-60fps-1s-passthrough-host_roundtrip-h264-p1,3840,2160,60,1,60,passthrough,host_roundtrip,h264,P1,3,3,60.08061916341914,60.07917763341491,60.08124506390849,1.0013436527236523,1.0013196272235818,1.0013540843984747,3.789584,3.71522,3.814497,4.432331199999999,4.365069999999999,4.4972395999999994,5.403228639999961,4.88802532,5.445532759999954,23.109679,22.984562,23.756249,0.003418803418803419,0.0017094017094017094,0.003418803418803419,6.455448,6.330912,7.096198,39.911607200000006,39.911607200000006,39.911607200000006,23.541284403669724,21.93577981651376,25.192660550458715,6.91743119266055,6.431192660550459,8.146788990825687,5.963302752293578,5.587155963302752,6.165137614678899,1195.0,1195.0,1195.0,19.34411009174312,18.979036697247707,19.484889908256882
3840x2160-60fps-1s-pointwise-host_roundtrip-h264-p1,3840,2160,60,1,60,pointwise,host_roundtrip,h264,P1,3,0,49.92284748206809,49.09642397479476,50.56685646200355,0.8320474580344682,0.818273732913246,0.8427809410333925,996.214071,933.247351,1090.322807,1882.078918,1747.3623519999999,2072.9671906,1962.58996884,1815.7970368,2157.7784508799996,1984.748257,1835.509204,2181.994763,1.0,1.0,1.0,1965.326957,1816.117069,2161.991711,39.849336799999996,39.849336799999996,39.849336799999996,19.72093023255814,19.091603053435115,19.929133858267715,5.604651162790698,5.427480916030534,5.748031496062992,3.883720930232558,3.732824427480916,4.039370078740157,1183.0,1183.0,1195.0,18.523692913385826,18.5225503875969,18.69361832061069
3840x2160-60fps-1s-unsharp-host_roundtrip-h264-p1,3840,2160,60,1,60,unsharp,host_roundtrip,h264,P1,3,0,36.12032016733937,36.10981212526092,36.211905340207565,0.6020053361223229,0.601830202087682,0.6035317556701261,3235.799465,3169.315903,3261.322167,6137.7501176,6098.319522999999,6140.844994199999,6397.42458224,6356.0812292,6402.214704439999,6462.536396,6421.574687,6467.249433,1.0,1.0,1.0,6435.521833,6394.505988,6440.326354,42.5903056,42.5903056,42.5903056,14.653179190751445,14.341040462427745,14.832369942196532,4.07514450867052,3.9653179190751446,4.30635838150289,3.2023121387283235,3.121387283236994,3.3179190751445087,1195.0,1195.0,1195.0,18.052612716763004,17.725254335260114,18.135878612716763
3840x2160-60fps-2s-pointwise-device-h264-p1,3840,2160,60,2,120,pointwise,device,h264,P1,3,3,120.19508643813923,120.19447454887133,120.19619904178215,1.001625720317827,1.0016206212405945,1.0016349920148513,1.0325595,1.0312335,1.039019,1.1499778,1.1494073999999999,1.1811924,1.2606157999999956,1.1972048699999993,1.36747036,20.279005,20.190699,36.807087,0.003418803418803419,0.003418803418803419,0.004273504273504274,3.623321,3.535011,20.150931,79.69867359999999,79.69867359999999,79.7359328,34.981651376146786,32.93636363636364,36.3394495412844,10.697247706422019,10.063636363636364,11.311926605504587,4.935779816513762,4.7,5.0,1906.9375,1906.9375,1906.9375,27.84865137614679,27.70541818181818,28.25819266055046
3840x2160-60fps-4s-pointwise-device-h264-p1,3840,2160,60,4,240,pointwise,device,h264,P1,3,3,240.38207828986833,240.38172958891323,240.38346475719712,1.0015919928744514,1.0015905399538052,1.0015977698216547,1.5775355,1.539034,1.601838,1.8565746999999997,1.78426445,1.8846780999999997,4.235754200000191,1.8337654200000002,4.7980954300000676,37.337384,37.304636,37.478382,0.005555555555555556,0.002564102564102564,0.005982905982905983,20.681626,20.6576,20.826805,159.4095576,159.4048312,159.4925584,68.21621621621621,64.29729729729729,68.26126126126127,21.117117117117118,20.486486486486488,21.126126126126128,10.432432432432432,10.207207207207206,10.432432432432432,3330.6875,3282.6875,3330.6875,35.24027927927928,35.181666666666665,35.285648648648646
3840x2160-60fps-5s-pointwise-device-h264-p1,3840,2160,60,5,300,pointwise,device,h264,P1,3,3,300.4760178364409,300.4690116953637,300.4788646607466,1.0015867261214697,1.001563372317879,1.001596215535822,1.772039,1.770348,1.773096,2.0835344,2.0785848,2.1535909999999996,2.1617222799999976,2.1300625199999983,6.416922879999675,37.346233,10.103621,37.480689,0.003076923076923077,0.0,0.006153846153846154,20.690824,0.692781,20.827149,199.3354888,199.2356536,199.3450104,82.63963963963964,82.12612612612612,83.44144144144144,25.774774774774773,25.65765765765766,26.00900900900901,12.963963963963964,12.774774774774775,13.108108108108109,4042.625,3982.625,4042.625,37.07310810810811,36.940603603603606,37.16397297297297
3840x2160-60fps-6s-pointwise-device-h264-p1,3840,2160,60,6,360,pointwise,device,h264,P1,3,0,333.43686139395714,332.4889255443583,333.60634301467945,0.9262135038721032,0.9235803487343287,0.9266842861518874,383.5872475,373.1606765,404.566894,744.32953505,736.84008315,773.6844354999998,777.9449357099999,771.13230351,807.7621664999999,801.16659,794.498751,831.195684,0.9564102564102565,0.9433048433048433,0.9746438746438747,784.510231,777.838257,814.538353,239.2612536,239.2350856,239.5457136,93.2,92.13333333333334,93.79166666666667,27.908333333333335,27.875,28.191666666666666,10.05,9.866666666666667,10.308333333333334,4754.5,4754.5,4754.5,37.87201666666667,37.42485833333333,38.01198333333333
3840x2160-60fps-8s-pointwise-device-h264-p1,3840,2160,60,8,480,pointwise,device,h264,P1,3,0,333.6989511833907,333.5431177717022,333.7310829279544,0.6952061482987306,0.6948814953577129,0.6952730894332383,2114.456221,2110.903139,2120.550534,4064.7757062000005,4063.2801940500003,4072.0313177,4238.01031338,4237.208186530001,4244.891474829999,4298.235746,4297.422893,4305.114297,0.9850427350427351,0.9848290598290599,0.9854700854700855,4281.576215,4280.763714,4288.453897,319.281628,319.012944,319.94507039999996,95.6025641025641,93.48717948717949,95.62820512820512,28.391025641025642,28.108974358974358,28.474358974358974,10.346153846153847,9.711538461538462,10.384615384615385,6180.25,6178.25,6180.25,38.62965384615384,38.60751282051282,38.67404487179487
